Team Name,Year,Wins,losses,Win %,OT Losses,Goals For (GF),Goals Against (GA),Differrence
Boston Bruins,1990,44,24,0.55,,299,264,35
Buffalo Sabres,1990,31,30,0.388,,292,278,14
Calgary Flames,1990,46,26,0.575,,344,263,81
Chicago Blackhawks,1990,49,23,0.613,,284,211,73
Detroit Red Wings,1990,34,38,0.425,,273,298,-25
Edmonton Oilers,1990,37,37,0.463,,272,272,0
Hartford Whalers,1990,31,38,0.388,,238,276,-38
Los Angeles Kings,1990,46,24,0.575,,340,254,86
Minnesota North Stars,1990,27,39,0.338,,256,266,-10
Montreal Canadiens,1990,39,30,0.487,,273,249,24
New Jersey Devils,1990,32,33,0.4,,272,264,8
New York Islanders,1990,25,45,0.312,,223,290,-67
New York Rangers,1990,36,31,0.45,,297,265,32
Philadelphia Flyers,1990,33,37,0.412,,252,267,-15
Pittsburgh Penguins,1990,41,33,0.512,,342,305,37
Quebec Nordiques,1990,16,50,0.2,,236,354,-118
St. Louis Blues,1990,47,22,0.588,,310,250,60
Toronto Maple Leafs,1990,23,46,0.287,,241,318,-77
Vancouver Canucks,1990,28,43,0.35,,243,315,-72
Washington Capitals,1990,37,36,0.463,,258,258,0
Winnipeg Jets,1990,26,43,0.325,,260,288,-28
Boston Bruins,1991,36,32,0.45,,270,275,-5
Buffalo Sabres,1991,31,37,0.388,,289,299,-10
Calgary Flames,1991,31,37,0.388,,296,305,-9
Chicago Blackhawks,1991,36,29,0.45,,257,236,21
Detroit Red Wings,1991,43,25,0.537,,320,256,64
Edmonton Oilers,1991,36,34,0.45,,295,297,-2
Hartford Whalers,1991,26,41,0.325,,247,283,-36
Los Angeles Kings,1991,35,31,0.438,,287,296,-9
Minnesota North Stars,1991,32,42,0.4,,246,278,-32
Montreal Canadiens,1991,41,28,0.512,,267,207,60
New Jersey Devils,1991,38,31,0.475,,289,259,30
New York Islanders,1991,34,35,0.425,,291,299,-8
New York Rangers,1991,50,25,0.625,,321,246,75
Philadelphia Flyers,1991,32,37,0.4,,252,273,-21
Pittsburgh Penguins,1991,39,32,0.487,,343,308,35
Quebec Nordiques,1991,20,48,0.25,,255,318,-63
San Jose Sharks,1991,17,58,0.212,,219,359,-140
St. Louis Blues,1991,36,33,0.45,,279,266,13
Toronto Maple Leafs,1991,30,43,0.375,,234,294,-60
Vancouver Canucks,1991,42,26,0.525,,285,250,35
Washington Capitals,1991,45,27,0.562,,330,275,55
Winnipeg Jets,1991,33,32,0.412,,251,244,7
Boston Bruins,1992,51,26,0.607,,332,268,64
Buffalo Sabres,1992,38,36,0.452,,335,297,38
Calgary Flames,1992,43,30,0.512,,322,282,40
Chicago Blackhawks,1992,47,25,0.56,,279,230,49
Detroit Red Wings,1992,47,28,0.56,,369,280,89
Edmonton Oilers,1992,26,50,0.31,,242,337,-95
Hartford Whalers,1992,26,52,0.31,,284,369,-85
Los Angeles Kings,1992,39,35,0.464,,338,340,-2
Minnesota North Stars,1992,36,38,0.429,,272,293,-21
Montreal Canadiens,1992,48,30,0.571,,326,280,46
New Jersey Devils,1992,40,37,0.476,,308,299,9
New York Islanders,1992,40,37,0.476,,335,297,38
New York Rangers,1992,34,39,0.405,,304,308,-4
Ottawa Senators,1992,10,70,0.119,,202,395,-193
Philadelphia Flyers,1992,36,37,0.429,,319,319,0
Pittsburgh Penguins,1992,56,21,0.667,,367,268,99
Quebec Nordiques,1992,47,27,0.56,,351,300,51
San Jose Sharks,1992,11,71,0.131,,218,414,-196
St. Louis Blues,1992,37,36,0.44,,282,278,4
Tampa Bay Lightning,1992,23,54,0.274,,245,332,-87
Toronto Maple Leafs,1992,44,29,0.524,,288,241,47
Vancouver Canucks,1992,46,29,0.548,,346,278,68
Washington Capitals,1992,43,34,0.512,,325,286,39
Winnipeg Jets,1992,40,37,0.476,,322,320,2
Mighty Ducks of Anaheim,1993,33,46,0.393,,229,251,-22
Boston Bruins,1993,42,29,0.5,,289,252,37
Buffalo Sabres,1993,43,32,0.512,,282,218,64
Calgary Flames,1993,42,29,0.5,,302,256,46
Chicago Blackhawks,1993,39,36,0.464,,254,240,14
Dallas Stars,1993,42,29,0.5,,286,265,21
Detroit Red Wings,1993,46,30,0.548,,356,275,81
Edmonton Oilers,1993,25,45,0.298,,261,305,-44
Florida Panthers,1993,33,34,0.393,,233,233,0
Hartford Whalers,1993,27,48,0.321,,227,288,-61
Los Angeles Kings,1993,27,45,0.321,,294,322,-28
Montreal Canadiens,1993,41,29,0.488,,283,248,35
New Jersey Devils,1993,47,25,0.56,,306,220,86
New York Islanders,1993,36,36,0.429,,282,264,18
New York Rangers,1993,52,24,0.619,,299,231,68
Ottawa Senators,1993,14,61,0.167,,201,397,-196
Philadelphia Flyers,1993,35,39,0.417,,294,314,-20
Pittsburgh Penguins,1993,44,27,0.524,,299,285,14
Quebec Nordiques,1993,34,42,0.405,,277,292,-15
San Jose Sharks,1993,33,35,0.393,,252,265,-13
St. Louis Blues,1993,40,33,0.476,,270,283,-13
Tampa Bay Lightning,1993,30,43,0.357,,224,251,-27
Toronto Maple Leafs,1993,43,29,0.512,,280,243,37
Vancouver Canucks,1993,41,40,0.488,,279,276,3
Washington Capitals,1993,39,35,0.464,,277,263,14
Winnipeg Jets,1993,24,51,0.286,,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,0.333,,125,164,-39
Boston Bruins,1994,27,18,0.562,,150,127,23
Buffalo Sabres,1994,22,19,0.458,,130,119,11
Calgary Flames,1994,24,17,0.5,,163,135,28
Chicago Blackhawks,1994,24,19,0.5,,156,115,41
Dallas Stars,1994,17,23,0.354,,136,135,1
Detroit Red Wings,1994,33,11,0.688,,180,117,63
Edmonton Oilers,1994,17,27,0.354,,136,183,-47
Florida Panthers,1994,20,22,0.417,,115,127,-12
Hartford Whalers,1994,19,24,0.396,,127,141,-14
Los Angeles Kings,1994,16,23,0.333,,142,174,-32
Montreal Canadiens,1994,18,23,0.375,,125,148,-23
New Jersey Devils,1994,22,18,0.458,,136,121,15
New York Islanders,1994,15,28,0.312,,126,158,-32
New York Rangers,1994,22,23,0.458,,139,134,5
Ottawa Senators,1994,9,34,0.188,,117,174,-57
Philadelphia Flyers,1994,28,16,0.583,,150,132,18
Pittsburgh Penguins,1994,29,16,0.604,,181,158,23
Quebec Nordiques,1994,30,13,0.625,,185,134,51
San Jose Sharks,1994,19,25,0.396,,129,161,-32
St. Louis Blues,1994,28,15,0.583,,178,135,43
Tampa Bay Lightning,1994,17,28,0.354,,120,144,-24
Toronto Maple Leafs,1994,21,19,0.438,,135,146,-11
Vancouver Canucks,1994,18,18,0.375,,153,148,5
Washington Capitals,1994,22,18,0.458,,136,120,16
Winnipeg Jets,1994,16,25,0.333,,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,0.427,,234,247,-13
Boston Bruins,1995,40,31,0.488,,282,269,13
Buffalo Sabres,1995,33,42,0.402,,247,262,-15
Calgary Flames,1995,34,37,0.415,,241,240,1
Chicago Blackhawks,1995,40,28,0.488,,273,220,53
Colorado Avalanche,1995,47,25,0.573,,326,240,86
Dallas Stars,1995,26,42,0.317,,227,280,-53
Detroit Red Wings,1995,62,13,0.756,,325,181,144
Edmonton Oilers,1995,30,44,0.366,,240,304,-64
Florida Panthers,1995,41,31,0.5,,254,234,20
Hartford Whalers,1995,34,39,0.415,,237,259,-22
Los Angeles Kings,1995,24,40,0.293,,256,302,-46
Montreal Canadiens,1995,40,32,0.488,,265,248,17
New Jersey Devils,1995,37,33,0.451,,215,202,13
New York Islanders,1995,22,50,0.268,,229,315,-86
New York Rangers,1995,41,27,0.5,,272,237,35
Ottawa Senators,1995,18,59,0.22,,191,291,-100
Philadelphia Flyers,1995,45,24,0.549,,282,208,74
Pittsburgh Penguins,1995,49,29,0.598,,362,284,78
San Jose Sharks,1995,20,55,0.244,,252,357,-105
St. Louis Blues,1995,32,34,0.39,,219,248,-29
Tampa Bay Lightning,1995,38,32,0.463,,238,248,-10
Toronto Maple Leafs,1995,34,36,0.415,,247,252,-5
Vancouver Canucks,1995,32,35,0.39,,278,278,0
Washington Capitals,1995,39,32,0.476,,234,204,30
Winnipeg Jets,1995,36,40,0.439,,275,291,-16
Mighty Ducks of Anaheim,1996,36,33,0.439,,245,233,12
Boston Bruins,1996,26,47,0.317,,234,300,-66
Buffalo Sabres,1996,40,30,0.488,,237,208,29
Calgary Flames,1996,32,41,0.39,,214,239,-25
Chicago Blackhawks,1996,34,35,0.415,,223,210,13
Colorado Avalanche,1996,49,24,0.598,,277,205,72
Dallas Stars,1996,48,26,0.585,,252,198,54
Detroit Red Wings,1996,38,26,0.463,,253,197,56
Edmonton Oilers,1996,36,37,0.439,,252,247,5
Florida Panthers,1996,35,28,0.427,,221,201,20
Hartford Whalers,1996,32,39,0.39,,226,256,-30
Los Angeles Kings,1996,28,43,0.341,,214,268,-54
Montreal Canadiens,1996,31,36,0.378,,249,276,-27
New Jersey Devils,1996,45,23,0.549,,231,182,49
New York Islanders,1996,29,41,0.354,,240,250,-10
New York Rangers,1996,38,34,0.463,,258,231,27
Ottawa Senators,1996,31,36,0.378,,226,234,-8
Philadelphia Flyers,1996,45,24,0.549,,274,217,57
Phoenix Coyotes,1996,38,37,0.463,,240,243,-3
Pittsburgh Penguins,1996,38,36,0.463,,285,280,5
San Jose Sharks,1996,27,47,0.329,,211,278,-67
St. Louis Blues,1996,36,35,0.439,,236,239,-3
Tampa Bay Lightning,1996,32,40,0.39,,217,247,-30
Toronto Maple Leafs,1996,30,44,0.366,,230,273,-43
Vancouver Canucks,1996,35,40,0.427,,257,273,-16
Washington Capitals,1996,33,40,0.402,,214,231,-17
Mighty Ducks of Anaheim,1997,26,43,0.317,,205,261,-56
Boston Bruins,1997,39,30,0.476,,221,194,27
Buffalo Sabres,1997,36,29,0.439,,211,187,24
Calgary Flames,1997,26,41,0.317,,217,252,-35
Carolina Hurricanes,1997,33,41,0.402,,200,219,-19
Chicago Blackhawks,1997,30,39,0.366,,192,199,-7
Colorado Avalanche,1997,39,26,0.476,,231,205,26
Dallas Stars,1997,49,22,0.598,,242,167,75
Detroit Red Wings,1997,44,23,0.537,,250,196,54
Edmonton Oilers,1997,35,37,0.427,,215,224,-9
Florida Panthers,1997,24,43,0.293,,203,256,-53
Los Angeles Kings,1997,38,33,0.463,,227,225,2
Montreal Canadiens,1997,37,32,0.451,,235,208,27
New Jersey Devils,1997,48,23,0.585,,225,166,59
New York Islanders,1997,30,41,0.366,,212,225,-13
New York Rangers,1997,25,39,0.305,,197,231,-34
Ottawa Senators,1997,34,33,0.415,,193,200,-7
Philadelphia Flyers,1997,42,29,0.512,,242,193,49
Phoenix Coyotes,1997,35,35,0.427,,224,227,-3
Pittsburgh Penguins,1997,40,24,0.488,,228,188,40
San Jose Sharks,1997,34,38,0.415,,210,216,-6
St. Louis Blues,1997,45,29,0.549,,256,204,52
Tampa Bay Lightning,1997,17,55,0.207,,151,269,-118
Toronto Maple Leafs,1997,30,43,0.366,,194,237,-43
Vancouver Canucks,1997,25,43,0.305,,224,273,-49
Washington Capitals,1997,40,30,0.488,,219,202,17
Mighty Ducks of Anaheim,1998,35,34,0.427,,215,206,9
Boston Bruins,1998,39,30,0.476,,214,181,33
Buffalo Sabres,1998,37,28,0.451,,207,175,32
Calgary Flames,1998,30,40,0.366,,211,234,-23
Carolina Hurricanes,1998,34,30,0.415,,210,202,8
Chicago Blackhawks,1998,29,41,0.354,,202,248,-46
Colorado Avalanche,1998,44,28,0.537,,239,205,34
Dallas Stars,1998,51,19,0.622,,236,168,68
Detroit Red Wings,1998,43,32,0.524,,245,202,43
Edmonton Oilers,1998,33,37,0.402,,230,226,4
Florida Panthers,1998,30,34,0.366,,210,228,-18
Los Angeles Kings,1998,32,45,0.39,,189,222,-33
Montreal Canadiens,1998,32,39,0.39,,184,209,-25
Nashville Predators,1998,28,47,0.341,,190,261,-71
New Jersey Devils,1998,47,24,0.573,,248,196,52
New York Islanders,1998,24,48,0.293,,194,244,-50
New York Rangers,1998,33,38,0.402,,217,227,-10
Ottawa Senators,1998,44,23,0.537,,239,179,60
Philadelphia Flyers,1998,37,26,0.451,,231,196,35
Phoenix Coyotes,1998,39,31,0.476,,205,197,8
Pittsburgh Penguins,1998,38,30,0.463,,242,225,17
San Jose Sharks,1998,31,33,0.378,,196,191,5
St. Louis Blues,1998,37,32,0.451,,237,209,28
Tampa Bay Lightning,1998,19,54,0.232,,179,292,-113
Toronto Maple Leafs,1998,45,30,0.549,,268,231,37
Vancouver Canucks,1998,23,47,0.28,,192,258,-66
Washington Capitals,1998,31,45,0.378,,200,218,-18
Mighty Ducks of Anaheim,1999,34,33,0.415,3,217,227,-10
Atlanta Thrashers,1999,14,57,0.171,4,170,313,-143
Boston Bruins,1999,24,33,0.293,6,210,248,-38
Buffalo Sabres,1999,35,32,0.427,4,213,204,9
Calgary Flames,1999,31,36,0.378,5,211,256,-45
Carolina Hurricanes,1999,37,35,0.451,0,217,216,1
Chicago Blackhawks,1999,33,37,0.402,2,242,245,-3
Colorado Avalanche,1999,42,28,0.512,1,233,201,32
Dallas Stars,1999,43,23,0.524,6,211,184,27
Detroit Red Wings,1999,48,22,0.585,2,278,210,68
Edmonton Oilers,1999,32,26,0.39,8,226,212,14
Florida Panthers,1999,43,27,0.524,6,244,209,35
Los Angeles Kings,1999,39,27,0.476,4,245,228,17
Montreal Canadiens,1999,35,34,0.427,4,196,194,2
Nashville Predators,1999,28,40,0.341,7,199,240,-41
New Jersey Devils,1999,45,24,0.549,5,251,203,48
New York Islanders,1999,24,48,0.293,1,194,275,-81
New York Rangers,1999,29,38,0.354,3,218,246,-28
Ottawa Senators,1999,41,28,0.5,2,244,210,34
Philadelphia Flyers,1999,45,22,0.549,3,237,179,58
Phoenix Coyotes,1999,39,31,0.476,4,232,228,4
Pittsburgh Penguins,1999,37,31,0.451,6,241,236,5
San Jose Sharks,1999,35,30,0.427,7,225,214,11
St. Louis Blues,1999,51,19,0.622,1,248,165,83
Tampa Bay Lightning,1999,19,47,0.232,7,204,310,-106
Toronto Maple Leafs,1999,45,27,0.549,3,246,222,24
Vancouver Canucks,1999,30,29,0.366,8,227,237,-10
Washington Capitals,1999,44,24,0.537,2,227,194,33
Mighty Ducks of Anaheim,2000,25,41,0.305,5,188,245,-57
Atlanta Thrashers,2000,23,45,0.28,2,211,289,-78
Boston Bruins,2000,36,30,0.439,8,227,249,-22
Buffalo Sabres,2000,46,30,0.561,1,218,184,34
Calgary Flames,2000,27,36,0.329,4,197,236,-39
Carolina Hurricanes,2000,38,32,0.463,3,212,225,-13
Columbus Blue Jackets,2000,28,39,0.341,6,190,233,-43
Chicago Blackhawks,2000,29,40,0.354,5,210,246,-36
Colorado Avalanche,2000,52,16,0.634,4,270,192,78
Dallas Stars,2000,48,24,0.585,2,241,187,54
Detroit Red Wings,2000,49,20,0.598,4,253,202,51
Edmonton Oilers,2000,39,28,0.476,3,243,222,21
Florida Panthers,2000,22,38,0.268,9,200,246,-46
Los Angeles Kings,2000,38,28,0.463,3,252,228,24
Minnesota Wild,2000,25,39,0.305,5,168,210,-42
Montreal Canadiens,2000,28,40,0.341,6,206,232,-26
Nashville Predators,2000,34,36,0.415,3,186,200,-14
New Jersey Devils,2000,48,19,0.585,3,295,195,100
New York Islanders,2000,21,51,0.256,3,185,268,-83
New York Rangers,2000,33,43,0.402,1,250,290,-40
Ottawa Senators,2000,48,21,0.585,4,274,205,69
Philadelphia Flyers,2000,43,25,0.524,3,240,207,33
Phoenix Coyotes,2000,35,27,0.427,3,214,212,2
Pittsburgh Penguins,2000,42,28,0.512,3,281,256,25
San Jose Sharks,2000,40,27,0.488,3,217,192,25
St. Louis Blues,2000,43,22,0.524,5,249,195,54
Tampa Bay Lightning,2000,24,47,0.293,5,201,280,-79
Toronto Maple Leafs,2000,37,29,0.451,5,232,207,25
Vancouver Canucks,2000,36,28,0.439,7,239,238,1
Washington Capitals,2000,41,27,0.5,4,233,211,22
Mighty Ducks of Anaheim,2001,29,42,0.354,3,175,198,-23
Atlanta Thrashers,2001,19,47,0.232,5,187,288,-101
Boston Bruins,2001,43,24,0.524,9,236,201,35
Buffalo Sabres,2001,35,35,0.427,1,213,200,13
Calgary Flames,2001,32,35,0.39,3,201,220,-19
Carolina Hurricanes,2001,35,26,0.427,5,217,217,0
Columbus Blue Jackets,2001,22,47,0.268,5,164,255,-91
Chicago Blackhawks,2001,41,27,0.5,1,216,207,9
Colorado Avalanche,2001,45,28,0.549,1,212,169,43
Dallas Stars,2001,36,28,0.439,5,215,213,2
Detroit Red Wings,2001,51,17,0.622,4,251,187,64
